feature,importance,feature_group
"cat__Company_BANK OF AMERICA, NATIONAL ASSOCIATION",0.087384,Company
num__narrative_word_count,0.055487,narrative
num__narrative_char_count,0.05238,narrative
cat__Product_Mortgage,0.045078,Product
cat__Issue_Problem with a purchase shown on your statement,0.041521,Issue
cat__Issue_Fees or interest,0.039228,Issue
cat__Issue_Getting a credit card,0.036047,Issue
num__received_year,0.035596,received
num__narrative_sentiment_score,0.0344,narrative
cat__Sub-issue_Problem with fees,0.029276,Sub-issue
num__received_day,0.024495,received
cat__Sub-issue_Credit card company isn't resolving a dispute about a purchase on your statement,0.024475,Sub-issue
cat__Sub-product_Conventional home mortgage,0.021355,Sub-product
num__received_month,0.0202,received
cat__Issue_Trouble during payment process,0.016222,Issue
"cat__Company_CITIBANK, N.A.",0.016124,Company
cat__Sub-issue_Company closed your account,0.015928,Sub-issue
num__received_dayofweek,0.015679,received
cat__Company___OTHER__,0.014211,Company
"cat__Company_Block, Inc.",0.014077,Company
