Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,cleaned_consumer_narrative,narrative_sentiment_score
2016-01-20,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,[No Narrative],Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",AZ,85260,,Consent not provided,Web,2016-01-20,Closed with explanation,True,No,1750160,[No Narrative],0.0
2016-04-20,Bank account or service,Checking account,"Making/receiving payments, sending money",,[No Narrative],,KEYCORP,MT,59718,,N/A,Referral,2016-04-20,Closed with non-monetary relief,True,No,1889156,[No Narrative],0.0
2016-09-08,Credit card,,APR or interest rate,,[No Narrative],Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,MS,39120,,Consent not provided,Web,2016-09-08,Closed with explanation,True,No,2099346,[No Narrative],0.0
2016-11-02,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"Our home is being foreclosed on fraudulently. Once a month we would get a note says XXXX is claiming that the home is empty, so we would call and tell them that we lived there ( phone records to prove it ) The letters stopped A few months ago. Since then XXXX XXXX that look like XXXX showed up at our home while we were at work. Claiming to be from the bank. They told our neighbor that they had to clear the property and make it look like no one lived there. They stole items from around our home, yard, back deck, and threw our dog igloo house and lawn mower over the deck down to the creek. We have neighbors that witnessed this. They have enter our home illegally and changed the locks not once but twice on our back door even after leaving notes that we live here. We have their lock boxes to prove it. Our XXXX chickens disappeared and stuff inside there coup was stolen as well. We submitted a request for re-modification through a HUD approved housing counseling agency. Fax transmittal to prove it. A few days later they filed paperwork with the county clerk to sell home. Our home is still up for sale on XXXX XXXX, XXXX. Back in XXXX XXXX XXXX XXXX approved our request for re-modification then took it back and said there was an error. Denial was based on them assessing our home way above actual value so we would n't qualify for re-modification that we in fact should have qualified for. We appealed it and included an appraisal as well as 6 local comps to prove what is was truly worth. Then they switched servicers on us. I believe that Bank of NY Mellon does n't want to re-mod our loan even though these programs were created specifically to help people like us.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,950XX,,Consent provided,Web,2016-11-08,Closed with explanation,True,No,2191909,"Our home is being foreclosed on fraudulently. Once a month we would get a note says REDACTED is claiming that the home is empty, so we would call and tell them that we lived there ( phone records to prove it ) The letters stopped A few months ago. Since then REDACTED REDACTED that look like REDACTED showed up at our home while we were at work. Claiming to be from the bank. They told our neighbor that they had to clear the property and make it look like no one lived there. They stole items from around our home, yard, back deck, and threw our dog igloo house and lawn mower over the deck down to the creek. We have neighbors that witnessed this. They have enter our home illegally and changed the locks not once but twice on our back door even after leaving notes that we live here. We have their lock boxes to prove it. Our REDACTED chickens disappeared and stuff inside there coup was stolen as well. We submitted a request for re-modification through a HUD approved housing counseling agency. Fax transmittal to prove it. A few days later they filed paperwork with the county clerk to sell home. Our home is still up for sale on REDACTED REDACTED , REDACTED . Back in REDACTED REDACTED REDACTED REDACTED approved our request for re-modification then took it back and said there was an error. Denial was based on them assessing our home way above actual value so we would n't qualify for re-modification that we in fact should have qualified for. We appealed it and included an appraisal as well as 6 local comps to prove what is was truly worth. Then they switched servicers on us. I believe that Bank of NY Mellon does n't want to re-mod our loan even though these programs were created specifically to help people like us.",0.9666
2016-11-07,Bank account or service,Checking account,"Account opening, closing, or management",,"BB & T charged the bank account for my XXXX for a "" service charges prior period ''. When I called to inquire they said a manager would need to call me back. I called back a couple hours later and was then put on hold until the manager could talk with me. A manager is the only person that could reverse the charge. 

They had no good explanation other than the account was put into the wrong account type when they converted from XXXX to BB & T and they were going to charge the XXXX a fee for being in a business account. 

When I told them this smelled like XXXX, they very quickly indicated that they would refund the fee within 24 hours and move the account to a not for profit account type which had no fee. I told them that I appreciate that, but I knew that the bank had 100s of XXXX accounts not to mention other not-for-profit organizations. He agreed and I told him charging this fee was totally inappropriate. The XXXX received no communication about this change and I suspect many other accounts have this fee charged to them. I believe the CFPB should look into BB & Ts business practices, this is no different than what XXXX did.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BB&T CORPORATION,KY,41017,,Consent provided,Web,2016-11-07,Closed with explanation,True,Yes,2197653,"BB & T charged the bank account for my REDACTED for a "" service charges prior period ''. When I called to inquire they said a manager would need to call me back. I called back a couple hours later and was then put on hold until the manager could talk with me. A manager is the only person that could reverse the charge. They had no good explanation other than the account was put into the wrong account type when they converted from REDACTED to BB & T and they were going to charge the REDACTED a fee for being in a business account. When I told them this smelled like REDACTED , they very quickly indicated that they would refund the fee within 24 hours and move the account to a not for profit account type which had no fee. I told them that I appreciate that, but I knew that the bank had 100s of REDACTED accounts not to mention other not-for-profit organizations. He agreed and I told him charging this fee was totally inappropriate. The REDACTED received no communication about this change and I suspect many other accounts have this fee charged to them. I believe the CFPB should look into BB & Ts business practices, this is no different than what REDACTED did.",-0.8848
2017-02-23,Credit card,,Credit card protection / Debt protection,,"Let me start by saying clearly and plainly, we did not charge anything to this company and we have received nothing from this company. 
Now the story ; We had a Visa Signature credit card with Bank of America. When we received our XXXX statement we immediately call the bank about an unauthorized credit card purchase to someone called XXXX at XXXX. We called the company and received a text mail subscriber phone number ( which is a clear indication of a typical scammer telephone ). We left a message with this XXXX company and never heard back. We sent the company an email from the email address provided by the Bank of America and it was rejected as "" ADDRESS NOT FOUND ''. 

Additionally we lodged a complaint with the credit card holder, Bank of America. On XXXX XXXX, we received a letter from Bank of America indicating our account was credited for the full {$220.00}. But on XXXX statement the charge reappeared. The bank claims they have a receipt that proves we charged it because it has our address on it. I 'm sorry but a simple XXXX search will show anyone our address. So that is n't proof at all. 

Additionally the receipt that Bank of America proved to us clearly shows the Shipping Address as "" UnConfirmed ''. Obvious since we received no package from this XXXX company. 

We do not believe that we should be forced to pay for a credit charge that we did not authorize. And that the Bank of American or their associates does not have the right to come up with "" bogus '' information to convince us to pay for their mistakes. 

We have all telephone calls with Bank of America recorded if you should need to listen to them. 

Also we should note that the credit card in question was replaced in XXXX for other fraudulent charges. 

It is our opinion that Bank of America is unwilling to assist us and intend to make us pay for their mistakes and inability to handle. I have attached a copy of the bogus receipt as well.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48306,Older American,Consent provided,Web,2017-02-23,Closed with monetary relief,True,No,2358861,"Let me start by saying clearly and plainly, we did not charge anything to this company and we have received nothing from this company. Now the story ; We had a Visa Signature credit card with Bank of America. When we received our REDACTED statement we immediately call the bank about an unauthorized credit card purchase to someone called REDACTED at REDACTED . We called the company and received a text mail subscriber phone number ( which is a clear indication of a typical scammer telephone ). We left a message with this REDACTED company and never heard back. We sent the company an email from the email address provided by the Bank of America and it was rejected as "" ADDRESS NOT FOUND ''. Additionally we lodged a complaint with the credit card holder, Bank of America. On REDACTED REDACTED , we received a letter from Bank of America indicating our account was credited for the full {$220.00}. But on REDACTED statement the charge reappeared. The bank claims they have a receipt that proves we charged it because it has our address on it. I 'm sorry but a simple REDACTED search will show anyone our address. So that is n't proof at all. Additionally the receipt that Bank of America proved to us clearly shows the Shipping Address as "" UnConfirmed ''. Obvious since we received no package from this REDACTED company. We do not believe that we should be forced to pay for a credit charge that we did not authorize. And that the Bank of American or their associates does not have the right to come up with "" bogus '' information to convince us to pay for their mistakes. We have all telephone calls with Bank of America recorded if you should need to listen to them. Also we should note that the credit card in question was replaced in REDACTED for other fraudulent charges. It is our opinion that Bank of America is unwilling to assist us and intend to make us pay for their mistakes and inability to handle. I have attached a copy of the bogus receipt as well.",-0.8834
2017-03-08,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,[No Narrative],Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,,,,N/A,Postal mail,2017-03-13,Closed with explanation,True,No,2377237,[No Narrative],0.0
2017-05-04,Mortgage,Conventional home mortgage,Trouble during payment process,,[No Narrative],Company has responded to the consumer and the CFPB and chooses not to provide a public response,M&T BANK CORPORATION,PA,15009,,Consent not provided,Web,2017-05-04,Closed with explanation,True,N/A,2475761,[No Narrative],0.0
2017-06-25,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,[No Narrative],Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MA,01515,"Older American, Servicemember",Consent not provided,Web,2017-06-25,Closed with monetary relief,True,N/A,2558295,[No Narrative],0.0
2017-07-11,Credit card or prepaid card,General-purpose credit card or charge card,Getting a credit card,Card opened as result of identity theft or fraud,"Company : Chase Credit Card for Amazon.com I am a victim of identity theft. I just became aware of this on XX/XX/XXXX by a different credit card company. As a result, I have placed a fraud alert on my credit report and ordered all three reports. <P/> I received a missed call on XX/XX/XXXX from the following number : XXXX at approximately XXXX XXXX. The caller left a voicemail identifying himself as XXXX from Chase Fraud Prevention Dept for Amazon.com Credit Cards. He left a call back number of : XXXX and a reference number. <P/> I did not call the above number as I am leary about the validity of the caller. My guard is extremely high at this point. I instead used XXXX to find a toll free number for Chase. I called XXXX at approximately XXXX XXXX. <P/> The 1st Customer Service Rep I spoke with was XXXX. I asked to be connected with the Fraud dept. I also asked him to provide me with their phone number ( in an effort for me to try to verify the phone number left on my voicemail ). He stated they did not have a number?? But stated he could connect me to them after verifying my information. I explained the situation of how I am not a customer of theirs, I received a call from the Fraud dept, and that I did not feel comfortable supplying him with my personal information. XXXX did not seem to understand the seriousness of my concerns so I requested to speak with his supervisor. I was then connected to XXXX. She identified herself as the Fraud Dept Supervisor. <P/> I reiterated my concerns to XXXX. She stated their phone number is : XXXX. She was unable to confirm if the initial phone number left on my voicemail was valid. She too requested my personal information that I was not willing to provide for my security. Besides, they should be able to use the reference number to pull up whatever file that has been created in my name. <P/> Out of frustration with the process, I stated I was ending the call with her. <P/> I then decided to call Chase again, but this time using the phone number listed on my credit report which is : XXXX7. A gentleman by the name of XXXX answered. I explained my situation and he connected me with XXXX ( a male ) in the Fraud dept. I gave XXXX my full name, the reference number left on my voicemail, and explained the situation. He seemed to be more helpful than anyone else I had spoken with. However he asked for my address to send paperwork for the fraud investigation. I refused. In hindsight this seems like a reasonable request. However I am leary as this is the second notification I received of fraud within the past few weeks. <P/> Please, someone help me!! I simply want Chase to void whatever application that was submitted in my name fraudulently. If they opened an account in my name, I want it closed! I also want them to conduct an investigation as to who may have done this. Would someone please contact Chase on my behalf to facilitate this? <P/> By the way, I just noticed a hard inquiry on my credit report from Chase which was apparently done on XX/XX/XXXX ( which I did not initiate ). I want that removed as well!!",,JPMORGAN CHASE & CO.,PA,190XX,,Consent provided,Web,2017-07-11,Closed with non-monetary relief,True,N/A,2571431,"Company : Chase Credit Card for Amazon.com I am a victim of identity theft. I just became aware of this on REDACTED_DATE by a different credit card company. As a result, I have placed a fraud alert on my credit report and ordered all three reports. <P/> I received a missed call on REDACTED_DATE from the following number : REDACTED at approximately REDACTED REDACTED . The caller left a voicemail identifying himself as REDACTED from Chase Fraud Prevention Dept for Amazon.com Credit Cards. He left a call back number of : REDACTED and a reference number. <P/> I did not call the above number as I am leary about the validity of the caller. My guard is extremely high at this point. I instead used REDACTED to find a toll free number for Chase. I called REDACTED at approximately REDACTED REDACTED . <P/> The 1st Customer Service Rep I spoke with was REDACTED . I asked to be connected with the Fraud dept. I also asked him to provide me with their phone number ( in an effort for me to try to verify the phone number left on my voicemail ). He stated they did not have a number?? But stated he could connect me to them after verifying my information. I explained the situation of how I am not a customer of theirs, I received a call from the Fraud dept, and that I did not feel comfortable supplying him with my personal information. REDACTED did not seem to understand the seriousness of my concerns so I requested to speak with his supervisor. I was then connected to REDACTED . She identified herself as the Fraud Dept Supervisor. <P/> I reiterated my concerns to REDACTED . She stated their phone number is : REDACTED . She was unable to confirm if the initial phone number left on my voicemail was valid. She too requested my personal information that I was not willing to provide for my security. Besides, they should be able to use the reference number to pull up whatever file that has been created in my name. <P/> Out of frustration with the process, I stated I was ending the call with her. <P/> I then decided to call Chase again, but this time using the phone number listed on my credit report which is : REDACTED 7. A gentleman by the name of REDACTED answered. I explained my situation and he connected me with REDACTED ( a male ) in the Fraud dept. I gave REDACTED my full name, the reference number left on my voicemail, and explained the situation. He seemed to be more helpful than anyone else I had spoken with. However he asked for my address to send paperwork for the fraud investigation. I refused. In hindsight this seems like a reasonable request. However I am leary as this is the second notification I received of fraud within the past few weeks. <P/> Please, someone help me!! I simply want Chase to void whatever application that was submitted in my name fraudulently. If they opened an account in my name, I want it closed! I also want them to conduct an investigation as to who may have done this. Would someone please contact Chase on my behalf to facilitate this? <P/> By the way, I just noticed a hard inquiry on my credit report from Chase which was apparently done on REDACTED_DATE ( which I did not initiate ). I want that removed as well!!",-0.7672
