feature,importance,feature_group
cat__Product_Mortgage,0.165421,Product
cat__Product_Credit card,0.075406,Product
cat__Sub-product_General-purpose credit card or charge card,0.065786,Sub-product
cat__Sub-product_Conventional home mortgage,0.051765,Sub-product
cat__Sub-issue_Was not notified of investigation status or results,0.046698,Sub-issue
cat__Issue_Trouble during payment process,0.038845,Issue
num__received_days_since_start,0.032756,received
cat__Sub-issue_missing,0.032442,Sub-issue
cat__Issue_Struggling to pay mortgage,0.029104,Issue
cat__Sub-issue_Account status incorrect,0.028177,Sub-issue
cat__Product_Credit card or prepaid card,0.024748,Product
cat__Issue_Problem with a company's investigation into an existing problem,0.023745,Issue
cat__Issue_Problem with a purchase shown on your statement,0.021348,Issue
num__received_year,0.019534,received
cat__Product_Checking or savings account,0.018915,Product
cat__Sub-issue_Problem with fees,0.018183,Sub-issue
cat__Sub-product_FHA mortgage,0.017972,Sub-product
cat__Sub-product_Store credit card,0.016443,Sub-product
cat__Issue_Fees or interest,0.015891,Issue
cat__Issue_Incorrect information on your report,0.011419,Issue
